epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
144,12389.8,0.44532,0.32993,1.02386,0.99674,0.9976,0.99473,0.96284,0.31288,0.17111,0.89532,0.0029215,0.0029215,0.0029215
145,12464.6,0.44669,0.32694,1.02138,0.99749,0.99713,0.9947,0.96229,0.31265,0.17116,0.89522,0.002872,0.002872,0.002872
146,12540.6,0.44107,0.31805,1.01741,0.9975,0.99687,0.99468,0.96276,0.31254,0.17118,0.89532,0.0028225,0.0028225,0.0028225
147,12616,0.4379,0.31875,1.02068,0.9975,0.99714,0.99466,0.96341,0.31222,0.17029,0.89568,0.002773,0.002773,0.002773
148,12692,0.43677,0.31881,1.01969,0.99605,0.99939,0.99464,0.96273,0.31217,0.1701,0.89605,0.0027235,0.0027235,0.0027235
149,12767.7,0.44115,0.323,1.01959,0.99676,0.99939,0.99462,0.96293,0.31214,0.17056,0.89618,0.002674,0.002674,0.002674
150,12843.7,0.43335,0.32389,1.01723,0.99667,0.99939,0.99464,0.96327,0.31218,0.17042,0.8961,0.0026245,0.0026245,0.0026245
151,12920,0.42893,0.31574,1.01318,0.99696,0.99939,0.99464,0.96313,0.31304,0.16871,0.89776,0.002575,0.002575,0.002575
152,12996.3,0.43679,0.31875,1.01785,0.99713,0.99929,0.99465,0.96292,0.31318,0.16849,0.89817,0.0025255,0.0025255,0.0025255
153,13072.3,0.43925,0.31787,1.02272,0.99724,0.99917,0.99463,0.96264,0.31324,0.16807,0.89833,0.002476,0.002476,0.002476
154,13147.9,0.4401,0.32111,1.02106,0.99731,0.99896,0.99463,0.96222,0.31331,0.16743,0.89807,0.0024265,0.0024265,0.0024265
155,13223.4,0.43461,0.30815,1.01272,0.99727,0.99939,0.99463,0.96229,0.31293,0.16748,0.89749,0.002377,0.002377,0.002377
156,13299.7,0.43421,0.31025,1.01828,0.99732,0.99939,0.99464,0.9627,0.31282,0.16784,0.89737,0.0023275,0.0023275,0.0023275
157,13376.3,0.42392,0.30532,1.01194,0.99745,0.99939,0.99464,0.96224,0.31257,0.1677,0.89744,0.002278,0.002278,0.002278
158,13451.8,0.4321,0.30792,1.01636,0.9976,0.99939,0.99464,0.96143,0.31225,0.16695,0.89701,0.0022285,0.0022285,0.0022285
159,13527.4,0.42772,0.3117,1.01419,0.99773,0.99939,0.99462,0.96141,0.31132,0.16675,0.89586,0.002179,0.002179,0.002179
160,13603.5,0.42986,0.30753,1.01502,0.9977,0.99939,0.99461,0.96227,0.31048,0.16642,0.89493,0.0021295,0.0021295,0.0021295
161,13679.9,0.42711,0.30728,1.01091,0.99776,0.99939,0.99461,0.96305,0.3099,0.16499,0.89454,0.00208,0.00208,0.00208
162,13756.4,0.42361,0.30108,1.01012,0.99783,0.99939,0.99462,0.96274,0.30943,0.16493,0.89399,0.0020305,0.0020305,0.0020305
163,13832.5,0.42192,0.30398,1.01248,0.99788,0.99939,0.99464,0.96271,0.30936,0.16516,0.89362,0.001981,0.001981,0.001981
164,13908.4,0.41686,0.2962,1.00499,0.99788,0.99939,0.99463,0.96236,0.30899,0.16517,0.8931,0.0019315,0.0019315,0.0019315
165,13984.6,0.42374,0.3045,1.01176,0.99787,0.99939,0.99464,0.9623,0.30885,0.16521,0.89285,0.001882,0.001882,0.001882
166,14060,0.42393,0.30072,1.01499,0.99806,0.99939,0.99467,0.96292,0.30888,0.16529,0.89255,0.0018325,0.0018325,0.0018325
167,14136.2,0.41677,0.29929,1.0064,0.99798,0.9993,0.99468,0.96254,0.30921,0.16532,0.89295,0.001783,0.001783,0.001783
168,14211.7,0.41856,0.30072,1.01129,0.99765,0.99924,0.9947,0.96268,0.30833,0.16622,0.89157,0.0017335,0.0017335,0.0017335
169,14287.4,0.40848,0.28993,1.00281,0.9976,0.99928,0.9947,0.9625,0.30838,0.16592,0.89161,0.001684,0.001684,0.001684
170,14363,0.41407,0.29611,1.004,0.99773,0.99904,0.99473,0.96272,0.30827,0.16571,0.89156,0.0016345,0.0016345,0.0016345
171,14438.6,0.41232,0.29435,1.00413,0.99788,0.99847,0.99473,0.96326,0.30794,0.16609,0.89115,0.001585,0.001585,0.001585
172,14514.4,0.41042,0.2911,1.00531,0.99729,0.99851,0.99474,0.96331,0.30793,0.16574,0.89101,0.0015355,0.0015355,0.0015355
173,14589.5,0.4205,0.2983,1.00858,0.99773,0.9988,0.99473,0.96301,0.30782,0.16548,0.89103,0.001486,0.001486,0.001486
174,14664.9,0.40834,0.29579,1.00335,0.99774,0.99878,0.99473,0.96376,0.30747,0.16579,0.89074,0.0014365,0.0014365,0.0014365
175,14740.8,0.40799,0.28552,1.00545,0.9977,0.99885,0.99474,0.96374,0.30723,0.16549,0.89046,0.001387,0.001387,0.001387
176,14816.4,0.41155,0.29551,1.00464,0.9977,0.99886,0.99474,0.96365,0.30694,0.16495,0.89025,0.0013375,0.0013375,0.0013375
177,14891.8,0.40995,0.2854,1.00426,0.99767,0.99893,0.99473,0.96341,0.30667,0.16457,0.88995,0.001288,0.001288,0.001288
178,14967.1,0.41161,0.29118,1.00618,0.99766,0.99903,0.99474,0.9637,0.3065,0.16508,0.88986,0.0012385,0.0012385,0.0012385
179,15042.7,0.40391,0.28217,0.9986,0.99767,0.999,0.99475,0.96367,0.30632,0.1651,0.88981,0.001189,0.001189,0.001189
