epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,9744.57,0.48056,0.41876,1.06851,0.99141,0.99739,0.99459,0.95855,0.31683,0.17986,0.90645,0.000698518,0.000698518,0.000698518
114,9830.83,0.4784,0.41048,1.06471,0.99051,0.99775,0.99454,0.95873,0.3158,0.17908,0.90584,0.000688119,0.000688119,0.000688119
115,9917.4,0.47863,0.41659,1.06522,0.98934,0.99801,0.99449,0.95814,0.31479,0.17841,0.90461,0.000677753,0.000677753,0.000677753
116,10003.5,0.4744,0.41945,1.06336,0.98932,0.99762,0.99452,0.95933,0.3148,0.17732,0.90447,0.000667424,0.000667424,0.000667424
117,10089.5,0.48571,0.42565,1.07199,0.99025,0.99518,0.9944,0.9605,0.31302,0.17678,0.90302,0.000657134,0.000657134,0.000657134
118,10175.8,0.483,0.41724,1.06735,0.98754,0.99783,0.99445,0.96088,0.3122,0.17471,0.90225,0.000646886,0.000646886,0.000646886
119,10262.2,0.47536,0.40875,1.06026,0.98793,0.99822,0.99433,0.95965,0.31294,0.17573,0.90314,0.000636681,0.000636681,0.000636681
120,10348.9,0.47487,0.40839,1.06324,0.99124,0.99532,0.99429,0.96059,0.31332,0.17465,0.90359,0.000626523,0.000626523,0.000626523
121,10435.5,0.47699,0.42486,1.06679,0.99202,0.99489,0.99426,0.96155,0.31187,0.17393,0.90272,0.000616414,0.000616414,0.000616414
122,10521.8,0.47673,0.41709,1.06302,0.99047,0.9959,0.99434,0.96082,0.31167,0.17379,0.90263,0.000606356,0.000606356,0.000606356
123,10608,0.47319,0.41171,1.06538,0.99407,0.99419,0.99462,0.96264,0.31122,0.17386,0.90216,0.000596352,0.000596352,0.000596352
124,10694.6,0.47164,0.40348,1.05887,0.99074,0.99656,0.99465,0.96161,0.311,0.17397,0.90197,0.000586404,0.000586404,0.000586404
125,10781,0.47238,0.40976,1.06437,0.99302,0.9945,0.99475,0.96188,0.31081,0.17354,0.90177,0.000576516,0.000576516,0.000576516
126,10867.4,0.47376,0.41366,1.06521,0.99366,0.99441,0.99474,0.96213,0.31033,0.173,0.90101,0.000566689,0.000566689,0.000566689
127,10953.6,0.4686,0.40925,1.06376,0.99354,0.99488,0.99475,0.96176,0.30986,0.17326,0.90044,0.000556925,0.000556925,0.000556925
128,11039.7,0.47195,0.40622,1.06518,0.99166,0.99534,0.99475,0.96231,0.30926,0.17275,0.9001,0.000547228,0.000547228,0.000547228
129,11125.9,0.46859,0.40051,1.05879,0.99142,0.99655,0.99472,0.96175,0.30926,0.17267,0.89975,0.000537599,0.000537599,0.000537599
130,11212.1,0.4702,0.40159,1.06054,0.99473,0.99471,0.99477,0.96222,0.30964,0.17258,0.90001,0.000528041,0.000528041,0.000528041
131,11298.1,0.46897,0.41388,1.06132,0.99376,0.99607,0.9948,0.96113,0.30976,0.17257,0.90014,0.000518556,0.000518556,0.000518556
132,11383.9,0.47121,0.40418,1.05874,0.99417,0.99623,0.99478,0.96078,0.30963,0.1733,0.90008,0.000509147,0.000509147,0.000509147
133,11470.5,0.45998,0.39664,1.05459,0.99426,0.99545,0.99477,0.96082,0.30947,0.17339,0.89958,0.000499816,0.000499816,0.000499816
134,11557.3,0.46063,0.40231,1.05454,0.99424,0.99528,0.99476,0.96105,0.30946,0.17348,0.8995,0.000490565,0.000490565,0.000490565
135,11643.7,0.46477,0.39387,1.05796,0.99435,0.99498,0.99472,0.96143,0.30816,0.17194,0.89789,0.000481397,0.000481397,0.000481397
136,11729.6,0.45625,0.39372,1.05544,0.99472,0.99527,0.99476,0.96108,0.30777,0.17163,0.89749,0.000472313,0.000472313,0.000472313
137,11816.2,0.45419,0.39001,1.04934,0.99471,0.99548,0.99474,0.96061,0.30743,0.17116,0.89691,0.000463317,0.000463317,0.000463317
138,11902.5,0.45319,0.38723,1.04978,0.99474,0.99535,0.99477,0.96057,0.30753,0.1699,0.89722,0.00045441,0.00045441,0.00045441
139,11988.7,0.4519,0.39231,1.05095,0.995,0.99497,0.99475,0.96085,0.30712,0.1698,0.89654,0.000445594,0.000445594,0.000445594
140,12074.7,0.45897,0.39468,1.0511,0.99496,0.9948,0.99476,0.96139,0.30712,0.16992,0.89659,0.000436871,0.000436871,0.000436871
